time,el0ps_solved,gurobi_solved,l0bnb_solved,mosek_solved,oa_solved
0.01,0.0,0.0,0.0,0.0,0.0
0.012216773489967919,0.0,0.0,0.0,0.0,0.0
0.014924955450518291,0.0,0.0,0.0,0.0,0.0
0.018233480008684414,0.0,0.0,0.0,0.0,0.0
0.022275429519995574,0.0,0.0,0.0,0.0,0.0
0.027213387683753074,0.0,0.0,0.0,0.0,0.0
0.03324597932270942,0.0,0.0,0.0,0.0,0.0
0.0406158598837698,0.0,0.0,0.0,0.0,0.0
0.04961947603002903,0.0,0.0,0.0,0.0,0.0
0.06061898993497572,0.0,0.0,0.0,0.0,0.0
0.07405684692262435,0.0,0.0,0.0,0.0,0.0
0.09047357242349298,0.0,0.0,0.0,0.0,0.0
0.11052951411260215,0.0,0.0,0.0,0.0,0.0
0.13503140378698728,0.0,0.0,0.0,0.0,0.0
0.16496480740980207,0.0,0.0,0.0,0.0,0.0
0.20153376859417332,0.0,0.0,0.0,0.0,0.0
0.24620924014946255,0.0,0.0,0.0,0.0,0.0
0.3007882518043099,0.0,0.0,0.0,0.0,0.0
0.3674661940736688,0.0,0.0,0.0,0.0,0.0
0.44892512582186056,0.0,0.0,0.0,0.0,0.0
0.5484416576121018,2.0,0.0,0.0,0.0,0.0
0.6700187503509587,2.0,0.0,0.0,0.0,0.0
0.8185467307069029,4.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,0.0,0.0
1.2216773489967918,15.0,0.0,0.0,0.0,0.0
1.4924955450518291,18.0,0.0,0.0,0.0,0.0
1.8233480008684404,22.0,0.0,0.0,0.0,0.0
2.227542951999556,28.0,0.0,0.0,0.0,0.0
2.7213387683753085,33.0,0.0,0.0,0.0,0.0
3.3245979322709416,38.0,0.0,0.0,0.0,0.0
4.061585988376979,38.0,0.0,0.0,0.0,0.0
4.961947603002903,45.0,0.0,0.0,0.0,0.0
6.061898993497572,47.0,0.0,0.0,0.0,0.0
7.405684692262435,56.0,0.0,0.0,0.0,0.0
9.047357242349293,60.0,0.0,0.0,0.0,0.0
11.05295141126021,65.0,0.0,0.0,0.0,0.0
13.503140378698722,70.0,0.0,0.0,0.0,0.0
16.496480740980207,73.0,0.0,0.0,0.0,0.0
20.15337685941733,77.0,0.0,0.0,0.0,0.0
24.620924014946254,79.0,0.0,0.0,0.0,0.0
30.07882518043099,82.0,0.0,0.0,0.0,0.0
36.74661940736688,86.0,0.0,0.0,0.0,0.0
44.89251258218603,88.0,0.0,0.0,0.0,0.0
54.84416576121015,91.0,0.0,0.0,0.0,0.0
67.0018750350959,92.0,0.0,0.0,1.0,0.0
81.8546730706903,92.0,0.0,0.0,1.0,0.0
100.0,95.0,0.0,0.0,3.0,0.0
122.16773489967906,95.0,0.0,0.0,3.0,0.0
149.2495545051829,96.0,0.0,0.0,8.0,0.0
182.33480008684424,97.0,0.0,0.0,10.0,0.0
222.75429519995564,97.0,0.0,0.0,16.0,0.0
272.13387683753086,98.0,0.0,0.0,19.0,0.0
332.4597932270938,99.0,0.0,0.0,23.0,0.0
406.158598837698,100.0,1.0,0.0,30.0,0.0
496.1947603002898,100.0,2.0,0.0,37.0,0.0
606.1898993497572,100.0,3.0,0.0,43.0,0.0
740.5684692262442,100.0,3.0,0.0,43.0,0.0
904.7357242349293,100.0,3.0,0.0,43.0,0.0
1105.2951411260221,100.0,3.0,0.0,43.0,0.0
1350.3140378698722,100.0,3.0,0.0,43.0,0.0
1649.6480740980207,100.0,3.0,0.0,43.0,0.0
2015.337685941731,100.0,3.0,0.0,43.0,0.0
2462.0924014946254,100.0,3.0,0.0,43.0,0.0
3007.882518043096,100.0,3.0,0.0,43.0,0.0
3674.661940736688,100.0,3.0,0.0,43.0,0.0
4489.251258218607,100.0,3.0,0.0,43.0,0.0
5484.416576121015,100.0,3.0,0.0,43.0,0.0
6700.18750350959,100.0,3.0,0.0,43.0,0.0
8185.4673070690205,100.0,3.0,0.0,43.0,0.0
10000.0,100.0,3.0,0.0,43.0,0.0
