lmbd_ratio,limit_time,el0ps_lmbd,el0ps_time,gurobi_lmbd,gurobi_time,l0bnb_lmbd,l0bnb_time,mosek_lmbd,mosek_time,oa_lmbd,oa_time
1.0,3600.0,2.543412924288517,0.451417073,2.543412924288517,1055.233834028244,2.543412924288517,0.30713438987731934,2.543412924288517,199.4754025360162,2.543412924288517,1.303100347518921
0.7943282347242815,3600.0,2.0203046983250204,0.618979757,2.0203046983250204,762.1162509918213,2.0203046983250204,0.08632397651672363,2.0203046983250204,90.69107010899461,2.0203046983250204,1.9442455768585205
0.6309573444801932,3600.0,1.6047850646256854,3.1764798619999994,1.6047850646256854,1192.100527048111,1.6047850646256854,0.15563130378723145,1.6047850646256854,256.56458642700454,1.6047850646256854,4.3726890087127686
0.5011872336272722,3600.0,1.2747260874960127,4.853585059,1.2747260874960127,1190.0357358455658,1.2747260874960127,0.1030733585357666,1.2747260874960127,229.99074704397935,1.2747260874960127,2.5013842582702637
0.3981071705534972,3600.0,1.0125509228376977,10.879253414999999,1.0125509228376977,1646.3453381061554,1.0125509228376977,0.5377812385559082,1.0125509228376977,269.09523139099474,1.0125509228376977,36.94723963737488
0.31622776601683794,3600.0,0.8042977871061107,24.218363994999997,0.8042977871061107,3606.3086829185486,0.8042977871061107,900.5856754779816,0.8042977871061107,3600.1178827399854,0.8042977871061107,826.2365438938141
0.25118864315095796,3600.0,0.6388764414246427,3600.041212075,,,0.6388764414246427,3600.0101668834686,,,0.6388764414246427,3638.1010859012604
0.19952623149688792,3600.0,,,,,,,,,,
0.15848931924611134,3600.0,,,,,,,,,,
0.12589254117941673,3600.0,,,,,,,,,,
0.1,3600.0,,,,,,,,,,
0.07943282347242814,3600.0,,,,,,,,,,
0.0630957344480193,3600.0,,,,,,,,,,
0.05011872336272722,3600.0,,,,,,,,,,
0.03981071705534971,3600.0,,,,,,,,,,
0.03162277660168379,3600.0,,,,,,,,,,
0.025118864315095794,3600.0,,,,,,,,,,
0.01995262314968879,3600.0,,,,,,,,,,
0.015848931924611134,3600.0,,,,,,,,,,
0.012589254117941668,3600.0,,,,,,,,,,
0.01,3600.0,,,,,,,,,,
