lmbd_ratio,limit_time,el0ps_lmbd,el0ps_time,gurobi_lmbd,gurobi_time,oa_lmbd,oa_time
1.0,3600.0,18.332034445061158,0.844956365,18.332034445061158,45.21608591079712,18.332034445061158,5.105455636978149
0.7943282347242815,3600.0,14.561652559650152,11.223845479,14.561652559650152,220.78589010238647,14.561652559650152,35.75610280036926
0.6309573444801932,3600.0,11.56673177237522,25.658607149000005,11.56673177237522,283.4013149738312,11.56673177237522,254.8397445678711
0.5011872336272722,3600.0,9.18778163028007,76.440177108,9.18778163028007,840.6968610286713,9.18778163028007,3633.6997187137604
0.3981071705534972,3600.0,7.298114363412548,247.394026891,7.298114363412548,3029.5586400032043,,
0.31622776601683794,3600.0,5.797098299105413,3600.076224268,5.797098299105413,3601.8126928806305,,
0.25118864315095796,3600.0,,,,,,
0.19952623149688792,3600.0,,,,,,
0.15848931924611134,3600.0,,,,,,
0.12589254117941673,3600.0,,,,,,
0.1,3600.0,,,,,,
0.07943282347242814,3600.0,,,,,,
0.0630957344480193,3600.0,,,,,,
0.05011872336272722,3600.0,,,,,,
0.03981071705534971,3600.0,,,,,,
0.03162277660168379,3600.0,,,,,,
0.025118864315095794,3600.0,,,,,,
0.01995262314968879,3600.0,,,,,,
0.015848931924611134,3600.0,,,,,,
0.012589254117941668,3600.0,,,,,,
0.01,3600.0,,,,,,
