lmbd_ratio,limit_time,el0ps_lmbd,el0ps_time,gurobi_lmbd,gurobi_time,mosek_lmbd,mosek_time,oa_lmbd,oa_time
1.0,3600.0,155.7421494423665,0.09667856400000008,155.7421494423665,3600.9821660518646,155.7421494423665,2064.675181711995,155.7421494423665,0.284193754196167
0.7943282347242815,3600.0,123.71038663872022,0.588544041,,,123.71038663872022,3601.443571857002,123.71038663872022,2.5427653789520264
0.6309573444801932,3600.0,98.26665303579297,0.45028865200000023,,,,,98.26665303579297,2.701793670654297
0.5011872336272722,3600.0,78.05597703818489,0.6563682700000002,,,,,78.05597703818489,3.9030606746673584
0.3981071705534972,3600.0,62.00206645042045,0.7651294420000001,,,,,62.00206645042045,5.776333332061768
0.31622776601683794,3600.0,49.24999199282008,1.252817898,,,,,49.24999199282008,32.76529049873352
0.25118864315095796,3600.0,39.12065919984176,1.7979574710000001,,,,,39.12065919984176,605.439346075058
0.19952623149688792,3600.0,31.07464416346053,11.117413591000002,,,,,31.07464416346053,3617.5154659748077
0.15848931924611134,3600.0,24.683467243046806,65.57937543,,,,,,
0.12589254117941673,3600.0,19.606774962044,265.978790007,,,,,,
0.1,3600.0,15.574214944236651,679.828983427,,,,,,
0.07943282347242814,3600.0,12.371038663872021,475.9961561560001,,,,,,
0.0630957344480193,3600.0,9.826665303579293,191.77817885700006,,,,,,
0.05011872336272722,3600.0,7.805597703818488,2937.46286617,,,,,,
0.03981071705534971,3600.0,6.200206645042043,3600.0011465589996,,,,,,
0.03162277660168379,3600.0,,,,,,,,
0.025118864315095794,3600.0,,,,,,,,
0.01995262314968879,3600.0,,,,,,,,
0.015848931924611134,3600.0,,,,,,,,
0.012589254117941668,3600.0,,,,,,,,
0.01,3600.0,,,,,,,,
