lmbd_ratio,limit_time,el0ps_lmbd,el0ps_time,gurobi_lmbd,gurobi_time,mosek_lmbd,mosek_time,oa_lmbd,oa_time
1.0,3600.0,1.5110927258995368,0.007045810999999902,1.5110927258995368,3600.799145936966,1.5110927258995368,33.27080693200696,1.5110927258995368,0.03348708152770996
0.7943282347242815,3600.0,1.2003036174684816,0.260104655,,,1.2003036174684816,47.55232826899737,1.2003036174684816,0.20996809005737305
0.6309573444801932,3600.0,0.9534350535969083,0.19611450100000005,,,0.9534350535969083,89.61092571099289,0.9534350535969083,1410.0673470497131
0.5011872336272722,3600.0,0.7573403830478828,5.3015899189999995,,,0.7573403830478828,2064.888362359983,0.7573403830478828,3609.9398419857025
0.3981071705534972,3600.0,0.6015768495518359,49.572373119999995,,,0.6015768495518359,3600.0214660629863,,
0.31622776601683794,3600.0,0.47784947695550456,78.76947405799999,,,,,,
0.25118864315095796,3600.0,0.3795693314939871,130.377292277,,,,,,
0.19952623149688792,3600.0,0.30150263704109437,3600.000264498,,,,,,
0.15848931924611134,3600.0,,,,,,,,
0.12589254117941673,3600.0,,,,,,,,
0.1,3600.0,,,,,,,,
0.07943282347242814,3600.0,,,,,,,,
0.0630957344480193,3600.0,,,,,,,,
0.05011872336272722,3600.0,,,,,,,,
0.03981071705534971,3600.0,,,,,,,,
0.03162277660168379,3600.0,,,,,,,,
0.025118864315095794,3600.0,,,,,,,,
0.01995262314968879,3600.0,,,,,,,,
0.015848931924611134,3600.0,,,,,,,,
0.012589254117941668,3600.0,,,,,,,,
0.01,3600.0,,,,,,,,
