lmbd_ratio,limit_time,el0ps_lmbd,el0ps_time,gurobi_lmbd,gurobi_time,l0bnb_lmbd,l0bnb_time,mosek_lmbd,mosek_time,oa_lmbd,oa_time
1.0,3600.0,2.8346074905266336,0.2394,2.8346074905266336,78.7312,2.8346074905266336,0.3769,2.8346074905266336,1593.1675,,
0.7943282347242815,3600.0,2.2516087640862463,5.7072,2.2516087640862463,1337.2783,2.2516087640862463,0.2428,2.2516087640862463,1601.1289,,
0.6309573444801932,3600.0,1.7885164148663493,8.3180,1.7885164148663493,3603.1580,1.7885164148663493,11.8951,1.7885164148663493,3600.1534,,
0.5011872336272722,3600.0,1.4206690865961877,28.4782,,,1.4206690865961877,30.3104,,,,
0.3981071705534972,3600.0,1.1284775676833072,64.3651,,,1.1284775676833072,0.8541,,,,
0.31622776601683794,3600.0,0.8963815942638325,18.9744,,,0.8963815942638325,8.1820,,,,
0.25118864315095796,3600.0,0.7120212094109271,20.6213,,,0.7120212094109271,41.1886,,,,
0.19952623149688792,3600.0,0.5655785503576296,35.9395,,,0.5655785503576296,9.2131,,,,
0.15848931924611134,3600.0,0.4492550115034942,53.5119,,,0.4492550115034942,0.9068,,,,
0.12589254117941673,3600.0,0.35685594022860734,20.2803,,,0.35685594022860734,0.6658,,,,
0.1,3600.0,0.2834607490526634,22.0579,,,0.2834607490526634,1.4735,,,,
0.07943282347242814,3600.0,0.22516087640862462,24.6102,,,0.22516087640862462,114.9603,,,,
0.0630957344480193,3600.0,0.17885164148663488,35.5180,,,0.17885164148663488,6.0810,,,,
0.05011872336272722,3600.0,0.14206690865961877,23.0341,,,0.14206690865961877,69.1551,,,,
0.03981071705534971,3600.0,0.1128477567683307,33.7611,,,0.1128477567683307,34.7704,,,,
0.03162277660168379,3600.0,0.08963815942638324,87.8778,,,0.08963815942638324,14.1953,,,,
0.025118864315095794,3600.0,0.0712021209410927,154.4745,,,0.0712021209410927,85.7134,,,,
0.01995262314968879,3600.0,0.05655785503576295,445.6785,,,0.05655785503576295,271.9998,,,,
0.015848931924611134,3600.0,0.04492550115034942,612.3755,,,0.04492550115034942,152.4365,,,,
0.012589254117941668,3600.0,0.03568559402286072,796.4155,,,0.03568559402286072,136.1985,,,,
0.01,3600.0,0.028346074905266336,3600.1936,,,0.028346074905266336,3600.0129,,,,
