lmbd_ratio,limit_time,el0ps_lmbd,el0ps_time,gurobi_lmbd,gurobi_time,mosek_lmbd,mosek_time,oa_lmbd,oa_time
1.0,3600.0,2.1108367983368,0.007371473000000073,2.1108367983368,3601.3626050949097,2.1108367983368,39.07490588899236,2.1108367983368,0.03382611274719238
0.7943282347242815,3600.0,1.6766972678139247,0.21315865200000006,,,1.6766972678139247,55.166873259993736,1.6766972678139247,14.401323318481445
0.6309573444801932,3600.0,1.3318479809096606,0.3244886,,,1.3318479809096606,135.56591109899455,1.3318479809096606,2965.0713822841644
0.5011872336272722,3600.0,1.0579244555970693,30.987599962,,,1.0579244555970693,3600.0428981909936,1.0579244555970693,3608.1252751350403
0.3981071705534972,3600.0,0.8403392652860665,213.925968915,,,,,,
0.31622776601683794,3600.0,0.667505205164181,1708.28518261,,,,,,
0.25118864315095796,3600.0,0.5302182312873331,3600.0168728900003,,,,,,
0.19952623149688792,3600.0,,,,,,,,
0.15848931924611134,3600.0,,,,,,,,
0.12589254117941673,3600.0,,,,,,,,
0.1,3600.0,,,,,,,,
0.07943282347242814,3600.0,,,,,,,,
0.0630957344480193,3600.0,,,,,,,,
0.05011872336272722,3600.0,,,,,,,,
0.03981071705534971,3600.0,,,,,,,,
0.03162277660168379,3600.0,,,,,,,,
0.025118864315095794,3600.0,,,,,,,,
0.01995262314968879,3600.0,,,,,,,,
0.015848931924611134,3600.0,,,,,,,,
0.012589254117941668,3600.0,,,,,,,,
0.01,3600.0,,,,,,,,
